Link,Car Name,Price,City,Registered In,Mileage,Fuel Type,Engine,Transmission
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Toyota Corolla  1984 DX for Sale,PKR 9lacs,Islamabad,1984,"125,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Suzuki Swift  2019 DLX 1.3 Navigation  for Sale,PKR 28.25lacs,Lahore,2019,"57,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Toyota Corolla  2016 GLi 1.3 VVTi for Sale6.4/10,PKR 41lacs,Islamabad,2016,"124,467 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Honda City 5th (GM2) Generation 2016 1.3 i-VTEC for Sale7.4/10,PKR 31.95lacs,Islamabad,2016,"251,378 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Suzuki Swift  2015 DLX Automatic 1.3 for Sale,PKR 23.75lacs,Karachi,2015,"52,000 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,FAW V2  2021 VCT-i for Sale,PKR 20lacs,Lahore,2021,"38,100 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Toyota Yaris Sedan  2021 GLI CVT 1.3 for Sale,PKR 41.95lacs,Karachi,2021,"21,000 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Honda City 5th (GM2) Generation 2016 Aspire Prosmatec 1.3 i-VTEC for Sale,PKR 30.4lacs,Islamabad,2016,"171,000 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Suzuki Swift  2011 DLX 1.3 for Sale,PKR 16.75lacs,Karachi,2011,"148,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Toyota Corolla  2018 GLi Automatic 1.3 VVTi for Sale,PKR 43.5lacs,Karachi,2018,"68,000 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Honda City  2007 i-DSI for Sale,PKR 19.5lacs,Karachi,2007,"81,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Honda City 5th (GM2) Generation 2012 1.3 i-VTEC Prosmatec for Sale,PKR 26.5lacs,Karachi,2012,"104,000 km",Petrol,1300 cc,Automatic
