link,car_name,price,city,registered_in,mileage,fuel_type,engine,transmission,car_brand,car_model,extracted_engine,car_brand_encoded,car_model_encoded,city_encoded,fuel_type_encoded,transmission_encoded
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Toyota Corolla  1984 DX for Sale,900000.0,islamabad,1984,125000,petrol,1300.0,manual,toyota,corolla,,10,6,0,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Suzuki Swift  2019 DLX 1.3 Navigation  for Sale,2825000.0,lahore,2019,57000,petrol,1300.0,manual,suzuki,swift,1300.0,9,14,2,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Toyota Corolla  2016 GLi 1.3 VVTi for Sale6.4/10,4100000.0,islamabad,2016,124467,petrol,1300.0,manual,toyota,corolla,1300.0,10,6,0,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Honda City 5th (GM2) Generation 2016 1.3 i-VTEC for Sale7.4/10,3195000.0,islamabad,2016,251378,petrol,1300.0,manual,honda,city,1300.0,2,4,0,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Suzuki Swift  2015 DLX Automatic 1.3 for Sale,2375000.0,karachi,2015,52000,petrol,1300.0,automatic,suzuki,swift,1300.0,9,14,1,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,FAW V2  2021 VCT-i for Sale,2000000.0,lahore,2021,38100,petrol,1300.0,manual,other,unknown,,7,16,2,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Toyota Yaris Sedan  2021 GLI CVT 1.3 for Sale,4195000.0,karachi,2021,21000,petrol,1300.0,automatic,toyota,yaris,1300.0,10,18,1,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Honda City 5th (GM2) Generation 2016 Aspire Prosmatec 1.3 i-VTEC for Sale,3040000.0,islamabad,2016,171000,petrol,1300.0,automatic,honda,city,1300.0,2,4,0,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Suzuki Swift  2011 DLX 1.3 for Sale,1675000.0,karachi,2011,148000,petrol,1300.0,manual,suzuki,swift,1300.0,9,14,1,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Toyota Corolla  2018 GLi Automatic 1.3 VVTi for Sale,4350000.0,karachi,2018,68000,petrol,1300.0,automatic,toyota,corolla,1300.0,10,6,1,4,0
